Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-03-20,124.57,124.82,121.940002,122.75,113.111282,604000,274
2019-03-21,122.68,124.970001,122.459999,124.639999,114.85289,757400,275
2019-03-22,124.089996,124.279999,120.129997,120.230003,110.789185,768900,276
2019-03-25,119.709999,122.690002,119.290001,122.589996,112.963852,569900,277
2019-03-26,123.410004,124.529999,121.480003,122.269997,112.668976,655000,278
2019-03-27,125.139999,126.440002,124.07,125.339996,115.49791,1229100,279
2019-03-28,127.5,131.199997,127.5,129.399994,119.836662,1358500,280
2019-03-29,130.210007,130.589996,128.860001,129.679993,120.09597,1054400,281
2019-04-01,130.979996,131.029999,128.440002,128.990005,119.456978,906800,282
2019-04-02,128.570007,128.570007,126.400002,127.290001,117.882622,682000,283
2019-04-03,128.399994,128.479996,126.940002,127.32,117.910393,585300,284
2019-04-04,127.389999,128.529999,127.019997,128.369995,118.882797,593800,285
2019-04-05,128.619995,129.899994,127.370003,127.589996,118.160431,511900,286
2019-04-08,127.449997,127.879997,126.529999,127.400002,117.984482,922700,287
2019-04-09,126.82,127.25,125.389999,125.949997,116.64164,898800,288
2019-04-10,126.300003,127.32,125.790001,126.459999,117.11396,835200,289
2019-04-11,126.830002,127.459999,125.830002,126.559998,117.206558,895500,290
2019-04-12,126.989998,128.559998,126.989998,128.149994,118.679039,1555400,291
2019-04-15,128.300003,129.210007,125.919998,127.18,117.780754,1221400,292
2019-04-16,127.260002,130.75,126.809998,129.559998,119.984848,714400,293
2019-04-17,130.009995,132.570007,129.520004,131.759995,122.022232,1286900,294
2019-04-18,131.570007,133.289993,130.990005,131.100006,121.411034,830700,295
2019-04-22,130.580002,132.240005,129.800003,130.75,121.086906,686200,296
2019-04-23,131.220001,132.399994,130.580002,132.070007,122.309349,655000,297
2019-04-24,132.350006,133.630005,131.279999,132.029999,122.272308,718900,298
2019-04-25,131.759995,131.759995,129.139999,129.729996,120.142281,873400,299
2019-04-26,130.789993,131.759995,128.869995,131.190002,121.494377,780100,300
2019-04-29,130.979996,132.130005,130.529999,132.089996,122.327866,648500,301
2019-04-30,131.580002,132.25,131.080002,131.580002,121.855568,548800,302
2019-05-01,131.809998,133.100006,129.710007,129.710007,120.123772,862900,303
2019-05-02,130.240005,132.649994,130.229996,131.889999,122.142662,553900,304
2019-05-03,131.910004,132.759995,130.869995,131.289993,121.586998,565300,305
2019-05-06,128.600006,129.130005,126.849998,128.220001,118.743889,669300,306
2019-05-07,126.93,127.269997,122.860001,123.910004,114.752411,983200,307
2019-05-08,123.370003,125.610001,122.730003,124.389999,115.196938,723600,308
2019-05-09,125.760002,126.440002,123.199997,125.68,116.391609,843000,309
2019-05-10,124.980003,125.580002,121.739998,124.269997,115.0858,1069000,310
2019-05-13,121.709999,121.709999,117.639999,118.279999,109.53849,1999400,311
2019-05-14,116.300003,116.910004,108.510002,113.949997,105.528519,4736000,312
2019-05-15,112.93,116.099998,112.260002,115.68,107.130661,2292400,313
2019-05-16,115.839996,116.639999,114.57,114.75,106.269409,1348500,314
2019-05-17,113.860001,115.010002,112.120003,112.510002,104.194939,1809300,315
2019-05-20,111.75,112.300003,110.470001,111.919998,103.648537,1515500,316
2019-05-21,112.25,114.620003,112.169998,113.970001,105.547035,1195200,317
2019-05-22,112.849998,114.900002,112.589996,112.790001,104.454231,1188100,318
2019-05-23,111.709999,112.029999,108.839996,109.239998,101.166588,1343400,319
2019-05-24,109.800003,110.440002,108.57,109.239998,101.166588,902800,320
2019-05-28,109.699997,110.760002,107.599998,108.019997,100.036758,1002600,321
2019-05-29,106.800003,107,104.730003,105.989998,98.156792,1627800,322
2019-05-30,105.169998,106.57,104.169998,105.029999,97.267738,1473500,323
2019-05-31,103.809998,105.160004,102.769997,105.129997,97.360359,1230100,324
2019-06-03,104.690002,108.160004,104.690002,107.25,99.323669,1244200,325
2019-06-04,108.639999,112.360001,108.5,111.760002,103.500359,1673300,326
2019-06-05,113,113.489998,108.580002,110.980003,102.778015,1050900,327
2019-06-06,110.769997,111.379997,108.779999,109.470001,101.379593,906300,328
2019-06-07,110.040001,111.470001,109.389999,110.879997,102.685402,922000,329
2019-06-10,111.510002,114.690002,111.459999,113.660004,105.259933,844600,330
2019-06-11,114.489998,115.879997,113.699997,113.860001,105.445168,803300,331
2019-06-12,113.540001,114.470001,112.300003,112.669998,104.343117,658000,332
2019-06-13,113.300003,113.790001,110.610001,112.620003,104.296806,837300,333
2019-06-14,112.900002,113.440002,111.980003,112.129997,103.843018,822500,334
2019-06-17,111.970001,113.400002,111.410004,112.300003,104.000458,653200,335
2019-06-18,112.68,115.440002,112.510002,113.379997,105.000641,797300,336
2019-06-19,113.529999,113.529999,110.940002,112.650002,104.324593,847000,337
2019-06-20,113.339996,115.5,112.839996,114.910004,106.417564,840400,338
2019-06-21,115.18,118.010002,114.120003,117.779999,109.075439,1044200,339
2019-06-24,117.580002,118.650002,116.190002,116.940002,108.297523,871700,340
2019-06-25,116.800003,116.959999,112.910004,113.68,105.278458,926600,341
2019-06-26,114.510002,116.529999,114.379997,115.360001,106.834305,766400,342
2019-06-27,115.300003,115.339996,111.790001,113.099998,105.369743,929800,343
2019-06-28,113.360001,114.940002,113.010002,113.589996,105.826241,938100,344
2019-07-01,115.599998,117.980003,112.580002,113.660004,105.891472,1194200,345
2019-07-02,113.209999,113.300003,109.879997,110.269997,102.73317,1163500,346
2019-07-03,110.720001,111.139999,108.650002,110.489998,102.938133,1095800,347
2019-07-05,110.080002,111.019997,109.150002,110.989998,103.403946,992800,348
2019-07-08,110.610001,111.68,109.839996,111.339996,103.730034,729300,349
2019-07-09,110.779999,111.699997,110.139999,110.589996,103.031281,1040500,350
2019-07-10,110.889999,110.949997,107.550003,109.559998,102.071701,1179400,351
2019-07-11,109.889999,111.360001,109.010002,111.110001,103.515755,879700,352
2019-07-12,111.339996,113.620003,111.059998,112.470001,104.782799,813400,353
2019-07-15,111.870003,113.300003,110.989998,112.57,104.875969,840600,354
2019-07-16,112.639999,115.5,112.25,115.199997,107.326202,993000,355
2019-07-17,111.489998,112.309998,109.349998,110.800003,103.226952,1869500,356
2019-07-18,110.860001,111.339996,108.949997,109.389999,101.913322,897400,357
2019-07-19,110.139999,111.730003,109.879997,110.269997,102.73317,1213400,358
2019-07-22,109.959999,110.900002,107.150002,107.400002,100.059334,898500,359
2019-07-23,107.629997,109.18,107.5,108.889999,101.447479,896800,360
2019-07-24,109.489998,110.779999,108.059998,109.730003,102.230087,921500,361
2019-07-25,109.339996,111.339996,109.339996,110.25,102.714539,845100,362
2019-07-26,109.669998,110.580002,108.559998,110.080002,102.55616,814000,363
2019-07-29,109.709999,111.980003,109.089996,111.269997,103.664825,1447100,364
2019-07-30,115,115,106,107.129997,99.807785,2726900,365
2019-07-31,107.290001,107.510002,103.260002,104.230003,97.106003,2371300,366
2019-08-01,104,104.839996,97.389999,98.620003,91.87944,2171400,367
2019-08-02,98.330002,99.669998,97.480003,98.879997,92.121674,1643800,368
2019-08-05,97.050003,97.720001,94.599998,95.730003,89.186966,1699900,369
2019-08-06,96.32,96.559998,94.580002,95.690002,89.149689,1117000,370
2019-08-07,94.669998,95.730003,94.029999,95.199997,88.693184,1655700,371
2019-08-08,95.870003,97.970001,95.419998,97.010002,90.379478,1247900,372
2019-08-09,96.690002,96.690002,93.209999,93.720001,87.314339,1139200,373
2019-08-12,92.980003,93.910004,91.370003,91.93,85.646683,970100,374
